iter	MultiClass
357	0.3176296515
358	0.3171699296
359	0.3165697335
360	0.3158257718
361	0.3151743403
362	0.3145468927
363	0.3136799756
364	0.3132566868
365	0.3127355794
366	0.3121889131
367	0.311146578
368	0.3102970269
369	0.3094882091
370	0.3091292684
371	0.3086173049
372	0.3081870807
373	0.3074726559
374	0.30702487
375	0.3067276082
376	0.3061255639
377	0.3055604081
378	0.3049680389
379	0.3042349659
380	0.3038409711
381	0.3031620192
382	0.3024870939
383	0.3021672226
384	0.3014589189
385	0.301113039
386	0.3003833783
387	0.2998123677
388	0.2993307259
389	0.298745283
390	0.2982411475
391	0.2976804224
392	0.2967889897
393	0.2962907736
394	0.2958498374
395	0.2954115282
396	0.2946344562
397	0.2942122209
398	0.2936478677
399	0.2932109774
400	0.2925233229
401	0.291985126
402	0.2914173968
403	0.291099802
404	0.2907710663
405	0.2904408411
406	0.2898682305
407	0.2894585474
408	0.2885454066
409	0.2880777568
410	0.2874828308
411	0.2870740985
412	0.2866832103
413	0.2859369751
414	0.28520205
415	0.2848303467
416	0.2843144357
417	0.283956963
418	0.2835096853
419	0.2830673942
420	0.2824418644
421	0.2819601451
422	0.2813561163
423	0.2811749825
424	0.2806400712
425	0.2799658148
426	0.279329474
427	0.2786603686
428	0.278066548
429	0.2775307003
430	0.2771926166
431	0.2766947082
432	0.2760688094
433	0.2758800267
434	0.2754103772
435	0.2748324736
436	0.2745651536
437	0.2741576017
438	0.2736402946
439	0.2733080373
440	0.272959533
441	0.2723328115
442	0.2716858068
443	0.2713442786
444	0.2708905832
445	0.2704872364
446	0.2699086772
447	0.2693195639
448	0.2691252847
449	0.2686343618
450	0.2681265307
451	0.2678371503
452	0.2674601794
453	0.2669784533
454	0.2664031894
455	0.2659630582
456	0.2654780283
457	0.2650639873
458	0.2648243539
459	0.2641628049
460	0.2637777853
461	0.2632448214
462	0.2628168449
463	0.2622952023
464	0.2618034602
465	0.2614455389
466	0.2610590991
467	0.2608052769
468	0.2601819004
469	0.259548038
470	0.2591952556
471	0.2586093577
472	0.2581675741
473	0.2578237026
474	0.257351766
475	0.2571259598
476	0.25672006
477	0.2560856742
478	0.255454131
479	0.255100866
480	0.2546432287
481	0.2541184642
482	0.2537333022
483	0.253324161
484	0.2529471679
485	0.252644905
486	0.2523286069
487	0.2519582061
488	0.2513818823
489	0.2507611386
490	0.2503578912
491	0.2497245656
492	0.2494852437
493	0.2491744944
494	0.2486653969
495	0.2481396798
496	0.2477206409
497	0.2471784519
498	0.2468666548
499	0.2464695522
500	0.24611878
501	0.2456543401
502	0.245135716
503	0.2447507048
504	0.2442604661
505	0.243924332
506	0.2435269562
507	0.2430307542
508	0.2427997212
509	0.2423239018
510	0.2420892474
511	0.241858447
512	0.2415417265
513	0.2414137083
514	0.2406639978
515	0.2400169503
516	0.2393794776
517	0.2390703265
518	0.2387986742
519	0.2384610866
520	0.237959877
521	0.2374810737
522	0.2367165324
523	0.235963719
524	0.2357152679
525	0.2355121403
526	0.2351369657
527	0.2346677791
528	0.2344302078
529	0.2340503095
530	0.2336457212
531	0.2334366178
532	0.2329454997
533	0.2327474201
534	0.2324308929
535	0.2319629312
536	0.2316788883
537	0.2311107502
538	0.2306862483
539	0.2303603356
540	0.2301736084
541	0.2298383819
542	0.2295312058
543	0.2293112121
544	0.2290186348
545	0.2287437085
546	0.2282960192
547	0.2277955398
548	0.2274466231
549	0.2270022783
550	0.2264848566
551	0.2261608218
552	0.2258149363
553	0.2254856942
554	0.2251677692
555	0.2249055187
556	0.2244389284
557	0.2239987027
558	0.2236582599
559	0.2233037589
560	0.2227904532
561	0.222554367
562	0.222202873
563	0.2219547758
564	0.2215012899
565	0.2212153728
566	0.2207677679
567	0.2204171285
568	0.2199582143
569	0.2195602639
570	0.2191546769
571	0.2186851267
572	0.2183026186
573	0.2179108776
574	0.2175457084
575	0.2170104218
576	0.2167123135
577	0.2163953356
578	0.2162011285
579	0.2158600896
580	0.2154561015
581	0.2149853163
582	0.2144250648
583	0.2142111284
584	0.2138098361
585	0.2133886835
586	0.2132002828
587	0.2127753158
588	0.2124114711
589	0.2122413349
590	0.2118877474
591	0.2115235483
592	0.2112461885
593	0.2108271105
594	0.2103894433
595	0.2099502407
596	0.2096092992
597	0.209158502
598	0.2088543643
599	0.2084121241
600	0.2080004397
601	0.207665913
602	0.2073807496
603	0.2070063857
604	0.2067833298
605	0.2064757091
606	0.2061799221
607	0.2057515959
608	0.205468856
609	0.2052149682
610	0.2047404917
611	0.2042587406
612	0.2040177197
613	0.2037740782
614	0.203599056
615	0.203342554
616	0.2031419141
617	0.2028728599
618	0.2026287471
619	0.2023206169
620	0.2020366955
621	0.201847131
622	0.2015619465
623	0.2011987788
624	0.2008934442
625	0.2006828441
626	0.2003863203
627	0.199965733
628	0.1997194882
629	0.1992919261
630	0.1988728566
631	0.1986510751
632	0.1983789576
633	0.1981415475
634	0.1979823543
635	0.1975066865
636	0.1972291131
637	0.1969296258
638	0.1967185042
639	0.1964397349
640	0.1960170598
641	0.1957620214
642	0.1954011099
643	0.1952142891
644	0.1950067051
645	0.1946788105
646	0.1943362506
647	0.1940668584
648	0.1936819338
649	0.1931085602
650	0.1926691767
651	0.1923992344
652	0.1921802776
653	0.1920002933
654	0.1915116957
655	0.1912073448
656	0.1907937743
657	0.1905330935
658	0.1903347548
659	0.189983602
660	0.1897600334
661	0.1895757701
662	0.1891404786
663	0.1886618476
664	0.1885059438
665	0.1883427426
666	0.1879945976
667	0.1876901081
668	0.1875327704
669	0.1873625342
670	0.1871921757
671	0.1867936755
672	0.1864626394
673	0.186290846
674	0.1859412816
675	0.1858243524
676	0.1854690112
677	0.1853494935
678	0.1850967442
679	0.1848005633
680	0.1845185656
681	0.1841938123
682	0.1840044716
683	0.1837288524
684	0.1834616928
685	0.1833529728
686	0.1831209885
687	0.1829738049
688	0.1828231197
689	0.1825823215
690	0.1822949339
691	0.1821159696
692	0.1817103921
693	0.1814845557
694	0.181317012
695	0.1810219413
696	0.1808035135
697	0.1805891213
698	0.1802780593
699	0.179927039
700	0.1797257341
701	0.179611851
702	0.1794173889
703	0.1792433572
704	0.1790623219
705	0.1788194206
706	0.178393787
707	0.178040994
708	0.1778326855
709	0.1776740962
710	0.1774088857
711	0.1770219568
712	0.1768005774
713	0.1765911311
714	0.1763567695
715	0.1760746237
716	0.1758176829
717	0.1753562322
718	0.1751226149
719	0.1749157461
720	0.174772624
721	0.1744584286
722	0.1741845124
723	0.1739881359
724	0.1737429658
725	0.1733576956
726	0.1731966207
727	0.1729726761
728	0.1726776779
729	0.1724705653
730	0.172266387
731	0.1720650192
732	0.1717546225
733	0.1715071296
734	0.1713420752
735	0.1708978827
736	0.1707010542
737	0.1703694889
738	0.1700628668
739	0.1699024639
740	0.1697522966
741	0.1693471241
742	0.1690315854
743	0.1688201172
744	0.1687108251
745	0.1684878186
746	0.1683486442
747	0.1681951625
748	0.1680413683
749	0.1678571551
750	0.1676241154
751	0.1675069892
752	0.1673387429
753	0.1671993083
754	0.1669438445
755	0.1667060418
756	0.1663759673
757	0.1661608091
758	0.16602156
759	0.16568129
760	0.1655149978
761	0.1652032121
762	0.1649965337
763	0.1647906215
764	0.1645027936
765	0.1642674846
766	0.1638813595
767	0.1636460724
768	0.1635489616
769	0.1633690556
770	0.1632448015
771	0.1630763117
772	0.1629328557
773	0.162704418
774	0.162406569
775	0.1621631099
776	0.1619756712
777	0.1618367495
778	0.1616580602
779	0.1614452567
780	0.1610907253
781	0.1607218099
782	0.1604614492
783	0.1603485002
784	0.1601742895
785	0.1600286498
786	0.1598640158
787	0.1596401364
788	0.159413251
789	0.1592309809
790	0.1590774772
791	0.1587008948
792	0.1584658793
793	0.158235983
794	0.1581198104
795	0.1580417485
796	0.1577603744
797	0.1576213403
798	0.1574053512
799	0.1573237341
800	0.1570326544
801	0.1566328756
802	0.1565248796
803	0.1563668345
804	0.1560253443
805	0.1558143747
806	0.155634071
807	0.1554777926
808	0.1552221668
809	0.1550732848
810	0.1548446914
811	0.1547102143
812	0.1545428432
813	0.1544352938
814	0.1543237938
815	0.1540723875
816	0.1538818941
817	0.1537063006
818	0.1534314777
819	0.1532457283
820	0.1529410295
821	0.1528244558
822	0.1524998349
823	0.1523332029
824	0.1520004992
825	0.1518191953
826	0.1517205984
827	0.151546116
828	0.1514766536
829	0.1513385709
830	0.1511340981
831	0.151011332
832	0.1509001774
833	0.1508086576
834	0.1505934909
835	0.150412707
836	0.1502275365
837	0.1500003643
838	0.1498388435
839	0.1495362538
840	0.1493046178
841	0.1491155298
842	0.1490157726
843	0.1487544155
844	0.1486093233
845	0.1483840458
846	0.1481192529
847	0.1479072258
848	0.1477144068
849	0.1474612302
850	0.1472144885
851	0.1470646707
852	0.1468186426
853	0.146515671
854	0.1464019586
855	0.1462306177
856	0.1459667848
857	0.14566063
858	0.1454431872
859	0.145366087
860	0.1451767268
861	0.1450043436
862	0.1448159746
863	0.1445518955
864	0.1444002577
865	0.1442537898
866	0.1441019121
867	0.143864075
868	0.1437744395
869	0.1435024134
870	0.1431686962
871	0.1427633046
872	0.1425339221
873	0.142388207
874	0.1422378538
875	0.1421136265
876	0.1419517635
877	0.1417463086
878	0.1415287553
879	0.1414122279
880	0.1412497683
881	0.1411321873
882	0.1409481894
883	0.1408434784
884	0.14073705
885	0.1405057955
886	0.1403757644
887	0.140261214
888	0.1400432322
889	0.1399049054
890	0.1398055316
891	0.139637138
892	0.1394931216
893	0.1393906473
894	0.1392938281
895	0.1391844146
896	0.1388983931
897	0.1388089132
898	0.138707928
899	0.1385262354
900	0.1384305418
901	0.1382671289
902	0.1381671592
903	0.137991449
904	0.1378037641
905	0.1376041152
906	0.1375157325
907	0.1373777385
908	0.137133881
909	0.1368442759
910	0.1366589112
911	0.1365120842
912	0.1363689277
913	0.1362758227
914	0.1361464151
915	0.1360464408
916	0.1358095015
917	0.135654781
918	0.1354094743
919	0.1351998799
920	0.1350400787
921	0.1349117678
922	0.1347737237
923	0.1345819542
924	0.1343672699
925	0.134279221
926	0.1341782522
927	0.1340755308
928	0.1338662846
929	0.1337347756
930	0.133549425
931	0.1333838642
932	0.1330450579
933	0.1329477159
934	0.1326095754
935	0.1324286037
936	0.1323194479
937	0.132180096
938	0.1320254539
939	0.1319065952
940	0.131756211
941	0.1315928006
942	0.1313937293
943	0.1312573286
944	0.1311358074
945	0.1310372614
946	0.1309033114
947	0.1307462674
948	0.1304981164
949	0.1303564742
950	0.13010517
951	0.1299890768
952	0.1298080711
953	0.1297439953
954	0.1296587546
955	0.1294943557
956	0.1292350448
957	0.1291264334
958	0.1289977546
959	0.128843273
960	0.1286675776
961	0.1285369377
962	0.1283582961
963	0.1282336772
964	0.1280708064
965	0.1279398965
966	0.1277685631
967	0.1275067832
968	0.1273071751
969	0.1271420466
970	0.126909485
971	0.1267883048
972	0.126687351
973	0.1264851392
974	0.1263288159
975	0.1261818065
976	0.126053106
977	0.1258221325
978	0.1257007648
979	0.1255542696
980	0.1254758731
981	0.1253164518
982	0.12515776
983	0.125075833
984	0.1249367039
985	0.1247457883
986	0.124611947
987	0.1244841538
988	0.1243595185
989	0.1242777089
990	0.1241336514
991	0.1240054592
992	0.1238000152
993	0.1235939979
994	0.1234713246
995	0.1233686036
996	0.1232578185
997	0.1230336468
998	0.1228836631
999	0.1227494527
