iter	Passed	Remaining
694	934	409
695	935	408
696	936	407
697	938	405
698	939	404
699	940	403
700	941	401
701	942	400
702	944	398
703	945	397
704	946	395
705	947	394
706	948	393
707	949	391
708	951	390
709	952	388
710	953	387
711	954	386
712	955	384
713	957	383
714	958	381
715	959	380
716	960	379
717	961	377
718	963	376
719	964	375
720	965	373
721	966	372
722	968	370
723	969	369
724	970	368
725	971	366
726	972	365
727	974	363
728	975	362
729	976	361
730	977	359
731	978	358
732	980	357
733	981	355
734	982	354
735	983	352
736	985	351
737	986	350
738	987	348
739	989	347
740	990	346
741	991	344
742	992	343
743	993	341
744	995	340
745	996	339
746	997	337
747	998	336
748	999	335
749	1000	333
750	1002	332
751	1003	330
752	1004	329
753	1006	328
754	1007	326
755	1008	325
756	1009	324
757	1010	322
758	1012	321
759	1013	319
760	1014	318
761	1015	317
762	1017	315
763	1018	314
764	1019	313
765	1020	311
766	1021	310
767	1023	309
768	1024	307
769	1025	306
770	1026	304
771	1027	303
772	1028	302
773	1030	300
774	1031	299
775	1032	298
776	1033	296
777	1034	295
778	1036	293
779	1037	292
780	1038	291
781	1039	289
782	1040	288
783	1042	287
784	1043	285
785	1044	284
786	1045	283
787	1046	281
788	1048	280
789	1049	278
790	1050	277
791	1051	276
792	1053	274
793	1054	273
794	1055	272
795	1056	270
796	1058	269
797	1059	268
798	1060	266
799	1061	265
800	1062	264
801	1064	262
802	1065	261
803	1066	259
804	1067	258
805	1069	257
806	1070	255
807	1072	254
808	1073	253
809	1074	252
810	1075	250
811	1076	249
812	1077	247
813	1079	246
814	1080	245
815	1081	243
816	1082	242
817	1084	241
818	1085	239
819	1086	238
820	1087	237
821	1088	235
822	1090	234
823	1091	233
824	1092	231
825	1093	230
826	1094	229
827	1096	227
828	1097	226
829	1098	225
830	1099	223
831	1101	222
832	1102	220
833	1103	219
834	1104	218
835	1106	216
836	1107	215
837	1108	214
838	1109	212
839	1110	211
840	1112	210
841	1113	208
842	1114	207
843	1116	206
844	1117	204
845	1118	203
846	1119	202
847	1120	200
848	1122	199
849	1123	198
850	1124	196
851	1125	195
852	1126	194
853	1128	192
854	1129	191
855	1130	190
856	1132	188
857	1133	187
858	1134	186
859	1135	184
860	1136	183
861	1137	182
862	1139	180
863	1140	179
864	1141	178
865	1142	176
866	1144	175
867	1145	174
868	1146	172
869	1147	171
870	1149	170
871	1151	168
872	1152	167
873	1153	166
874	1155	165
875	1156	163
876	1158	162
877	1159	161
878	1160	159
879	1162	158
880	1163	157
881	1164	155
882	1166	154
883	1167	153
884	1168	151
885	1170	150
886	1171	149
887	1173	147
888	1174	146
889	1175	145
890	1176	143
891	1178	142
892	1179	141
893	1180	140
894	1182	138
895	1183	137
896	1184	136
897	1186	134
898	1187	133
899	1188	132
900	1190	130
901	1191	129
902	1192	128
903	1193	126
904	1195	125
905	1196	124
906	1197	122
907	1198	121
908	1200	120
909	1201	118
910	1202	117
911	1204	116
912	1205	114
913	1206	113
914	1208	112
915	1209	110
916	1210	109
917	1211	108
918	1213	106
919	1214	105
920	1215	104
921	1216	102
922	1218	101
923	1219	100
924	1220	98
925	1222	97
926	1223	96
927	1224	95
928	1226	93
929	1227	92
930	1229	91
931	1230	89
932	1231	88
933	1233	87
934	1234	85
935	1235	84
936	1237	83
937	1238	81
938	1240	80
939	1241	79
940	1242	77
941	1243	76
942	1245	75
943	1246	73
944	1247	72
945	1248	71
946	1250	69
947	1251	68
948	1253	67
949	1254	66
950	1255	64
951	1257	63
952	1258	62
953	1259	60
954	1260	59
955	1262	58
956	1263	56
957	1264	55
958	1265	54
959	1267	52
960	1268	51
961	1269	50
962	1271	48
963	1272	47
964	1273	46
965	1274	44
966	1276	43
967	1277	42
968	1278	40
969	1279	39
970	1280	38
971	1282	36
972	1283	35
973	1284	34
974	1285	32
975	1286	31
976	1288	30
977	1289	29
978	1290	27
979	1291	26
980	1292	25
981	1294	23
982	1295	22
983	1296	21
984	1298	19
985	1299	18
986	1300	17
987	1301	15
988	1303	14
989	1304	13
990	1305	11
991	1306	10
992	1307	9
993	1308	7
994	1310	6
995	1311	5
996	1312	3
997	1313	2
998	1314	1
999	1316	0
